number,Mean_SocialD,Trait,Reversed,Text,normal_human.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean,MSDpersona_GPT3.5.mean,MSDshape_GPT3.5.mean,MSDpersona_GPT4.mean,MSDshape_GPT4.mean,MSDpersona_LLaMA3.mean,MSDshape_LLaMA3.mean
1,5.518666667,Extraversion,1,性格外向，喜欢交际,3.03,2.86,2.61,3.14,2.87,2.77,2.45,0.17,0.42,-0.11,0.16,0.25,0.58
2,5.063666667,Agreeableness,1,心肠柔软，有同情心,4.34,4.12,3.53,3.19,3.22,3.87,3.17,0.22,0.81,1.15,1.12,0.47,1.17
3,3.009333333,Conscientiousness,-1,缺乏条理,3.62,3.46,3.29,3.03,3.16,3.77,3.31,0.16,0.33,0.59,0.46,-0.15,0.31
4,5.955333333,Neuroticism,1,从容，善于处理压力,2.56,2.55,2.75,2.99,2.98,2.94,3.32,0.01,-0.2,-0.43,-0.42,-0.38,-0.77
5,3.735,Openness,-1,对艺术没有什么兴趣,3.68,3,3,3.48,3.14,3.8,2.92,0.68,0.68,0.2,0.55,-0.12,0.76
6,5.436666667,Extraversion,1,性格坚定自信，敢于表达自己的观点,2.96,3.2,3.22,3.03,3.13,3.07,2.81,-0.24,-0.27,-0.07,-0.17,-0.11,0.15
7,6.112666667,Agreeableness,1,为人恭谦，尊重他人,4.62,4.92,4.48,3.34,3.72,4.43,3.62,-0.3,0.14,1.28,0.9,0.19,0.99
8,3.103333333,Conscientiousness,-1,比较懒,3.62,3.77,3.33,3.36,3.26,4.23,3.44,-0.15,0.29,0.26,0.37,-0.61,0.19
9,6.138666667,Neuroticism,1,经历挫折后仍能保持积极心态,2.44,2.12,2.56,2.87,2.83,2.29,2.92,0.32,-0.12,-0.43,-0.39,0.14,-0.49
10,5.385,Openness,1,对许多不同的事物都感兴趣,4.43,4.21,3.79,3.36,3.25,3.71,3.15,0.21,0.64,1.06,1.18,0.72,1.27
11,3.410666667,Extraversion,-1,很少觉得兴奋或者特别想要(做)什么,3.54,3.13,2.8,3.39,3.06,4.18,2.99,0.41,0.74,0.14,0.48,-0.64,0.55
12,2.606,Agreeableness,-1,常常挑别人的毛病,3.34,3.53,3.43,3.03,3.24,4.31,3.46,-0.19,-0.09,0.31,0.1,-0.97,-0.12
13,6.396666667,Conscientiousness,1,可信赖的，可靠的,4.33,3.83,3.2,3.25,3.4,3.7,3.11,0.5,1.13,1.08,0.93,0.64,1.22
14,2.356666667,Neuroticism,-1,喜怒无常，情绪起伏较多,2.56,2.98,2.97,3,2.82,2.52,2.6,-0.42,-0.41,-0.44,-0.26,0.04,-0.04
